GeoAreaName;[Location];2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;Differenz;Kommentar
"""Latin America and the Caribbean""";"""RURAL""";-6.17276;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;-6.17276;-6.75854;-7.39359;-8.0253;-8.67942;-9.34067;-10.00184;-10.66519;-11.3784;-5.20564;
"""Least Developed Countries (LDCs)""";"""RURAL""";-21.03297;-21.35512;-22.69615;-23.5647;-23.56444;-23.32519;-23.09668;-22.85638;-22.5969;-23.02744;-23.4528;-24.16778;-24.62606;-25.07168;-25.50888;-25.93754;-26.38164;-26.8773;-5.84433;
"""South America""";"""RURAL""";-5.40067;-5.44457;-6.4975;-7.10837;-6.85704;-6.60241;-6.36745;-6.12993;-5.92255;-6.42923;-6.94775;-7.51585;-8.082;-8.68822;-9.29968;-9.91428;-10.53858;-11.23013;-5.82946;
"""Southern Asia""";"""RURAL""";-8.41966;-7.45677;-7.49731;-7.09032;-5.80219;-4.4235;-3.03691;-1.62507;-0.19593;0.55459;1.3179;2.05269;2.81002;3.58403;4.3731;5.17729;6.0114;6.8302;15.24986;2005'
"""Sub-Saharan Africa (inc. Sudan)""";"""RURAL""";-32.53217;-32.88792;-34.24236;-35.16236;-35.20457;-35.20553;-35.184;-35.14343;-35.08829;-35.72109;-36.34935;-37.1393;-37.79466;-38.43917;-39.07561;-39.70327;-40.30697;-40.86057;-8.3284;
"""Western Africa""";"""RURAL""";-30.53245;-30.72904;-31.95679;-32.75636;-32.655;-32.52907;-32.41931;-32.30488;-32.19258;-32.7763;-33.36382;-33.9949;-34.61858;-35.23948;-35.85914;-36.4763;-37.07678;-37.6229;-7.09045;
"""Asia""";"""URBAN""";-0.78724;-0.68446;-0.37892;-0.27834;-0.17833;-0.09404;-0.02596;0.0424;0.11638;0.18815;0.25614;0.31982;0.37141;0.41976;0.4687;0.51561;0.57503;0.64677;1.43401;
"""Australia""";"""URBAN""";11.98738;12.03102;11.81969;11.92948;12.03946;12.16741;12.27987;12.39555;12.51855;12.64484;12.77675;12.9307;13.08934;13.20151;13.31297;13.42328;13.53104;13.65317;1.66579;
"""Central Asia""";"""URBAN""";-2.54186;-2.3274;-2.22;-1.85243;-1.48547;-0.94566;-0.42461;0.0969;0.62369;1.15293;1.68774;2.25107;2.82975;3.39503;3.90531;4.38593;4.87564;5.26043;7.80229;
"""Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)""";"""URBAN""";10.56581;10.64198;10.46671;10.54936;10.61295;10.73127;10.79575;10.86329;10.93692;11.01219;11.09472;11.19694;11.29948;11.40308;11.50678;11.62567;11.75134;11.89421;1.3284;
