GeoAreaName;[Location];2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
"World";"RURAL";39.4361;39.92612;41.45364;42.55228;42.79121;43.03233;43.29615;43.55946;43.8296;44.8021;45.78517;46.81956;47.85402;48.89293;49.93764;50.98648;52.0242;53.03716;
"World";"ALLAREA";61.25434;61.70454;62.83692;63.60941;63.93015;64.24246;64.56688;64.88221;65.19863;65.85203;66.49626;67.12907;67.74305;68.34628;68.94266;69.53274;70.10356;70.64488;
"World";"URBAN";86.17919;86.13555;86.34688;86.29749;86.24792;86.18039;86.12835;86.07311;86.01056;85.94473;85.87328;85.77981;85.68166;85.57937;85.4778;85.37737;85.26961;85.14748;
